Ticker,ETF naam,Huidige waarde,Verschil tot piek (12m),Stijging (4m),Stijging (12m),Stijging (5y)
LYP6.DE,Amundi Core Stoxx Europe 600 UCITS ETF Acc,€293.50,€-2.65 (-0.89%),11.13%,18.32%,31.17%
IBC3.DE,iShares Core MSCI EM IMI UCITS ETF,€5.53,€-0.87 (-13.58%),11.58%,21.86%,14.86%
ESIT.DE,iShares MSCI Europe Information Technology Sector UCITS ETF,€9.31,€-0.13 (-1.35%),17.12%,12.94%,64.09%
EX25.VI,iShares STOXX Europe 600 UCITS ETF (DE),€60.18,€-0.72 (-1.18%),10.48%,14.69%,50.24%
VWCE.DE,Vanguard FTSE All-World UCITS ETF USD Accumulation,€147.74,€-2.50 (-1.66%),6.35%,7.53%,74.81%
IS3R.DE,iShares Edge MSCI World Momentum Factor UCITS ETF,€85.10,€-14.51 (-14.57%),5.15%,5.76%,67.57%
SXR8.DE,iShares Core S&P 500 UCITS ETF USD (Acc),€631.06,€-12.76 (-1.98%),4.41%,1.70%,98.50%
VUSA.AS,Vanguard S&P 500 UCITS ETF,€111.60,€-18.72 (-14.37%),4.12%,0.59%,86.83%
EUNK.DE,iShares Core MSCI Europe UCITS ETF EUR (Acc),€96.51,€-0.96 (-0.98%),10.73%,17.59%,33.93%
CEMR.DE,iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc),€15.27,€-0.17 (-1.13%),11.60%,25.36%,81.69%
EQAC.MI,Invesco EQQQ NASDAQ-100 UCITS ETF Acc,€371.14,€-61.77 (-14.27%),4.26%,4.16%,101.59%
